Date [s],Average:Average of Temperature [K]
0,363.15
0.01,363.053
0.02,363.008
0.03,362.944
0.04,362.876
0.05,362.824
0.06,362.783
0.07,362.749
0.08,362.743
0.09,362.741
0.1,362.734
0.11,362.737
0.12,362.746
0.13,362.753
0.14,362.756
0.15,362.763
0.16,362.765
0.17,362.769
0.18,362.776
0.19,362.782
0.2,362.785
0.21,362.781
0.22,362.776
0.23,362.773
0.24,362.763
0.25,362.755
0.26,362.741
0.27,362.718
0.28,362.693
0.29,362.663
0.3,362.63
0.31,362.595
0.32,362.558
0.33,362.525
0.34,362.481
0.35,362.439
0.36,362.405
0.37,362.358
0.38,362.321
0.39,362.262
0.4,362.226
0.41,362.198
0.42,362.168
0.43,362.137
0.44,362.13
0.45,362.122
0.46,362.126
0.47,362.135
0.48,362.127
0.49,362.108
0.5,362.093
0.51,362.068
0.52,362.051
0.53,362.011
0.54,361.967
0.55,361.923
0.56,361.875
0.57,361.809
0.58,361.753
0.59,361.657
0.6,361.461
0.61,361.432
0.62,361.379
0.63,361.353
0.64,361.321
0.65,361.322
0.66,361.285
0.67,361.298
0.68,361.281
0.69,361.278
0.7,361.23
0.71,361.181
0.72,361.105
0.73,361.08
0.74,361.048
0.75,361.022
0.76,360.986
0.77,360.951
0.78,360.928
0.79,360.912
0.8,360.896
0.81,360.836
0.82,360.868
0.83,360.832
0.84,360.814
0.85,360.79
0.86,360.715
0.87,360.601
0.88,360.559
0.89,360.461
0.9,360.406
0.91,360.389
0.92,360.334
0.93,360.251
0.94,360.2
0.95,360.106
0.96,360.075
0.97,360.123
0.98,360.073
0.99,360.026
1,360.04
1.01,359.983
1.02,360.006
1.03,360.051
1.04,359.999
1.05,360.022
1.06,360.013
1.07,360.001
1.08,360.014
1.09,360.057
1.1,360.087
1.11,360.122
1.12,360.183
1.13,360.19
1.14,360.153
1.15,360.091
1.16,359.968
1.17,359.885
1.18,359.889
1.19,359.803
1.2,359.832
1.21,359.769
1.22,359.704
1.23,359.567
1.24,359.487
1.25,359.343
1.26,359.389
1.27,359.368
1.28,359.378
1.29,359.4
1.3,359.439
1.31,359.469
1.32,359.527
1.33,359.553
1.34,359.627
1.35,359.635
1.36,359.631
1.37,359.652
1.38,359.561
1.39,359.55
1.4,359.519
