Date [s],Tav_2d( C/D ) [<unknown>]
0,363.15
0.01,363.027
0.02,363.001
0.03,362.972
0.04,362.943
0.05,362.918
0.06,362.895
0.07,362.875
0.08,362.855
0.09,362.837
0.1,362.827
0.11,362.814
0.12,362.797
0.13,362.783
0.14,362.762
0.15,362.739
0.16,362.715
0.17,362.686
0.18,362.653
0.19,362.627
0.2,362.525
0.21,362.4
0.22,362.293
0.23,362.186
0.24,362.079
0.25,361.962
0.26,361.846
0.27,361.726
0.28,361.621
0.29,361.495
0.3,361.389
0.31,361.294
0.32,361.188
0.33,361.096
0.34,361.002
0.35,360.914
0.36,360.845
0.37,360.799
0.38,360.76
0.39,360.675
0.4,360.619
0.41,360.567
0.42,360.48
0.43,360.429
0.44,360.359
0.45,360.278
0.46,360.224
0.47,360.26
0.48,360.319
0.49,360.292
0.5,360.231
0.51,360.203
0.52,360.169
0.53,360.103
0.54,360.049
0.55,360.005
0.56,359.956
0.57,359.921
0.58,359.877
0.59,359.813
0.6,359.712
0.61,359.648
0.62,359.579
0.63,359.504
0.64,359.452
0.65,359.382
0.66,359.336
0.67,359.302
0.68,359.255
0.69,359.232
0.7,359.222
0.71,359.195
0.72,359.175
0.73,359.127
0.74,359.118
0.75,359.107
0.76,359.061
0.77,359.034
0.78,358.996
0.79,358.984
0.8,358.948
0.81,358.914
0.82,358.861
0.83,358.797
0.84,358.762
0.85,358.713
0.86,358.664
0.87,358.659
0.88,358.634
0.89,358.617
0.9,358.612
0.91,358.581
0.92,358.548
0.93,358.514
0.94,358.47
0.95,358.434
0.96,358.41
0.97,358.373
0.98,358.333
0.99,358.364
1,358.369
1.01,358.339
1.02,358.289
1.03,358.24
1.04,358.172
1.05,358.139
1.06,358.087
1.07,358.065
1.08,358.027
1.09,358.027
1.1,358.021
1.11,358
1.12,357.979
1.13,357.982
1.14,357.984
1.15,357.965
1.16,357.959
1.17,357.898
1.18,357.854
1.19,357.824
1.2,357.806
1.21,357.783
1.22,357.747
1.23,357.724
1.24,357.715
1.25,357.681
1.26,357.646
1.27,357.609
1.28,357.565
1.29,357.54
1.3,357.529
1.31,357.487
1.32,357.471
1.33,357.454
1.34,357.442
1.35,357.433
1.36,357.4
1.37,357.403
1.38,357.393
1.39,357.38
1.4,357.359
1.41,357.366
1.42,357.328
1.43,357.326
1.44,357.301
1.45,357.246
1.46,357.213
1.47,357.152
1.48,357.1
1.49,357.056
1.5,357.014
1.51,356.98
1.52,356.973
1.53,356.958
1.54,356.934
1.55,356.912
1.56,356.89
1.57,356.862
1.58,356.85
1.59,356.805
1.6,356.787
1.61,356.759
1.62,356.735
1.63,356.669
1.64,356.664
1.65,356.611
1.66,356.578
1.67,356.553
1.68,356.534
1.69,356.503
1.7,356.461
1.71,356.417
1.72,356.367
1.73,356.325
1.74,356.311
1.75,356.289
