Date [s],Tmean( B/C ) [<unknown>]
0,363.15
0.01,363.025
0.02,362.997
0.03,362.966
0.04,362.935
0.05,362.907
0.06,362.883
0.07,362.863
0.08,362.847
0.09,362.832
0.1,362.819
0.11,362.806
0.12,362.79
0.13,362.77
0.14,362.747
0.15,362.728
0.16,362.704
0.17,362.681
0.18,362.655
0.19,362.634
0.2,362.601
0.21,362.508
0.22,362.413
0.23,362.318
0.24,362.218
0.25,362.124
0.26,362.029
0.27,361.935
0.28,361.842
0.29,361.754
0.3,361.668
0.31,361.583
0.32,361.497
0.33,361.412
0.34,361.326
0.35,361.257
0.36,361.184
0.37,361.114
0.38,361.058
0.39,360.991
0.4,360.933
0.41,360.86
0.42,360.803
0.43,360.739
0.44,360.67
0.45,360.633
0.46,360.669
0.47,360.638
0.48,360.59
0.49,360.572
0.5,360.55
0.51,360.549
0.52,360.542
0.53,360.468
0.54,360.415
0.55,360.368
0.56,360.3
0.57,360.238
0.58,360.221
