Date [s],Max:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.15
0.04,323.15
0.06,323.15
0.08,323.15
0.1,323.15
0.12,323.15
0.14,323.15
0.16,323.15
0.18,323.15
0.2,323.15
0.22,323.15
0.24,323.15
0.26,323.15
0.28,323.15
0.3,323.15
0.32,323.15
0.34,323.15
0.36,323.15
0.38,323.15
0.4,323.15
0.42,323.15
0.44,323.15
0.46,323.15
0.48,323.15
0.5,323.15
0.52,323.15
0.54,323.15
0.56,323.15
0.58,323.15
0.6,323.15
0.62,323.15
0.64,323.15
0.66,323.15
0.68,323.15
0.7,323.15
0.72,323.15
0.74,323.15
0.76,323.15
0.78,323.15
0.8,323.15
0.82,323.15
0.84,323.15
0.86,323.15
0.88,323.15
0.9,323.15
0.92,323.15
0.94,323.15
0.96,323.15
0.98,323.15
1,323.15
1.02,323.149
1.04,323.144
1.06,323.139
1.08,323.134
1.1,323.132
1.12,323.132
1.14,323.132
1.16,323.132
1.18,323.132
1.2,323.132
1.22,323.132
1.24,323.132
1.26,323.132
1.28,323.132
1.3,323.132
1.32,323.132
1.34,323.132
1.36,323.132
1.38,323.131
1.4,323.131
1.42,323.131
1.44,323.131
1.46,323.131
1.48,323.131
1.5,323.131
1.52,323.131
1.54,323.131
1.56,323.131
1.58,323.131
1.6,323.131
1.62,323.13
1.64,323.13
1.66,323.13
1.68,323.13
1.7,323.13
1.72,323.13
1.74,323.13
1.76,323.129
1.78,323.129
1.8,323.129
1.82,323.129
1.84,323.129
1.86,323.129
1.88,323.129
1.9,323.128
1.92,323.128
1.94,323.127
1.96,323.126
1.98,323.125
2,323.124
2.02,323.123
2.04,323.122
2.06,323.121
2.08,323.12
2.1,323.12
2.12,323.119
2.14,323.119
2.16,323.119
2.18,323.119
2.2,323.119
2.22,323.119
2.24,323.118
2.26,323.118
2.28,323.117
2.3,323.114
2.32,323.11
2.34,323.106
2.36,323.102
2.38,323.096
2.4,323.092
2.42,323.089
2.44,323.088
2.46,323.087
2.48,323.085
2.5,323.084
2.52,323.083
2.54,323.077
2.56,323.068
2.58,323.054
2.6,323.047
2.62,323.042
2.64,323.039
2.66,323.036
2.68,323.033
2.7,323.029
2.72,323.026
2.74,323.023
2.76,323.021
2.78,323.016
2.8,323.011
2.82,323.006
2.84,323.002
2.86,323
2.88,322.999
2.9,322.998
2.92,322.997
2.94,322.997
2.96,322.996
2.98,322.994
3,322.992
3.02,322.99
3.04,322.988
3.06,322.984
3.08,322.979
3.1,322.973
3.12,322.971
3.14,322.969
3.16,322.966
3.18,322.964
3.2,322.961
3.22,322.957
3.24,322.953
3.26,322.946
3.28,322.937
3.3,322.923
3.32,322.906
3.34,322.886
3.36,322.877
3.38,322.873
3.4,322.869
3.42,322.863
3.44,322.856
3.46,322.845
3.48,322.832
3.5,322.831
3.52,322.829
3.54,322.826
3.56,322.824
3.58,322.818
3.6,322.81
3.62,322.799
3.64,322.794
3.66,322.78
3.68,322.774
3.7,322.77
3.72,322.767
3.74,322.763
3.76,322.759
3.78,322.753
3.8,322.745
3.82,322.738
3.84,322.732
3.86,322.725
3.88,322.715
3.9,322.711
3.92,322.709
3.94,322.706
3.96,322.703
3.98,322.698
4,322.69
4.02,322.679
4.04,322.673
4.06,322.669
4.08,322.664
4.1,322.659
4.12,322.654
4.14,322.647
4.16,322.637
4.18,322.628
4.2,322.618
4.22,322.61
4.24,322.604
4.26,322.6
4.28,322.596
4.3,322.59
4.32,322.585
4.34,322.579
4.36,322.574
4.38,322.568
4.4,322.563
4.42,322.557
4.44,322.553
4.46,322.547
4.48,322.542
4.5,322.536
4.52,322.53
4.54,322.525
4.56,322.52
4.58,322.516
4.6,322.512
4.62,322.506
4.64,322.5
4.66,322.495
4.68,322.49
4.7,322.485
4.72,322.48
4.74,322.475
4.76,322.469
4.78,322.464
4.8,322.459
4.82,322.455
4.84,322.449
4.86,322.443
4.88,322.436
4.9,322.429
4.92,322.422
4.94,322.415
4.96,322.409
4.98,322.399
5,322.385
5.02,322.367
5.04,322.355
5.06,322.342
5.08,322.321
5.1,322.292
5.12,322.278
5.14,322.267
